label	xaxis	mean	variance	stddev
experiment_4	1	2967498.90909	1.20764035971	347511.202656
experiment_44	2	5220129.45455	1.87653241885	1369865.83973
experiment_45	5	12001900.3636	4.78327047224	691611.919521
experiment_46	10	14553546.1818	8.57859053198	926206.809086
experiment_47	50	13822717.8182	1.99300577657	4464309.32684
experiment_48	100	14928496.7273	1.19316754499	3454225.73813
