label	xaxis	mean	variance	stddev
experiment_4	1	1844763.66667	1530096049.97	39116.4421947
experiment_44	2	3440334.90909	32415127913.9	180042.017079
experiment_45	5	6048223.0	531630667.733	23057.117507
experiment_46	10	9870798.66667	310225367.467	17613.2157049
experiment_47	50	44220116.0	1460125248.0	38211.5852589
experiment_48	100	87743948.0	423734828.8	20584.820349
