label	xaxis	mean	variance	stddev
experiment_4	1	6336476.36364	4.97453575714	2230366.73153
experiment_44	2	14196552.0	93146860505.6	305199.70594
experiment_45	5	18919542.5455	1.53569469615	1239231.49417
experiment_46	10	39539426.1818	3.71182611057	6092475.77801
experiment_47	50	105765095.273	6.37721498464	7985746.66806
experiment_48	100	126274059.636	9.68754107499	3165072.9953
