label	xaxis	mean	variance	stddev
experiment_59	0	2527012.66667	20515134853.1	143231.054081
experiment_54	100	2614943.0	4467657709.87	66840.5394193
experiment_55	200	2674536.33333	36829564513.3	191910.303302
experiment_56	300	2743995.66667	30521579864.9	174704.264015
experiment_57	400	2796612.33333	46787889140.8	216305.083483
experiment_58	500	2854404.33333	8111442470.84	90063.546848
