10 Requests per second, 1 client	20 Request per second, 1 client	50 Requests per second, 2 clients	100 Requests per second, 5 clients	200 Request per second, 10 clients
1	46	49	8	27
1	46	5	7	25
1	45	47	5	22
1	45	7	13	20
1	46	47	7	12
1	46	8	6	54
2	47	48	53	50
2	46	5	52	42
2	44	47	18	40
1	43	4	16	39
2	46	48	7	36
3	44	6	56	29
1	46	47	53	26
3	47	4	22	22
2	43	47	20	8
3	44	5	12	47
5	44	46	9	43
2	44	6	53	39
2	46	48	21	37
2	45	7	16	28
1	44	48	9	26
4	45	8	6	22
1	45	47	55	18
3	46	6	9	13
2	47	46	8	9
4	46	6	5	56
3	46	47	5	52
2	46	8	53	48
4	45	45	24	44
2	47	9	22	42
3	46	47	14	38
4	46	8	4	29
2	46	47	51	22
2	46	8	27	15
1	53	47	25	81
3	46	8	14	62
3	46	48	7	59
2	42	7	3	56
4	46	48	28	50
4	46	6	27	48
4	46	48	12	47
3	46	7	4	42
3	44	48	53	33
3	47	6	27	84
2	45	48	24	75
1	47	7	13	19
2	47	48	6	14
1	44	7	4	12
4	46	48	28	9
3	47	6	24	53
4	45	48	13	48
4	46	8	6	45
3	44	48	4	40
5	46	9	27	37
5	45	48	24	35
1	45	9	12	33
3	45	48	53	29
4	46	7	50	27
4	47	47	31	19
2	45	9	28	16
3	44	51	11	17
4	46	6	3	13
2	46	46	53	43
3	46	11	34	35
3	44	48	29	34
2	45	9	13	64
2	45	36	51	62
3	45	9	47	52
5	45	48	35	51
3	44	9	32	48
2	47	48	21	41
3	47	11	60	39
4	43	47	58	38
3	47	10	40	33
3	44	46	37	31
3	45	10	20	27
10	43	48	10	25
3	45	8	8	20
4	39	47	42	16
3	46	51	36	11
3	45	43	21	61
4	44	10	7	56
2	45	48	4	53
2	43	10	43	48
3	47	48	41	43
5	46	8	21	33
2	45	47	6	29
2	46	6	3	29
2	44	48	41	26
2	45	10	39	18
1	45	48	22	14
3	47	9	8	10
5	47	48	6	7
1	44	10	43	63
2	45	48	40	57
1	44	9	20	46
2	44	47	9	40
2	44	10	7	38
1	47	48	42	29
4	44	10	40	22
3	44	48	18	14
1	44	9	6	12
2	45	48	4	10
3	46	9	3	59
3	45	48	56	45
4	46	8	54	38
3	45	48	52	37
3	42	6	51	36
6	47	47	58	34
4	46	7	54	20
2	47	48	50	16
4	47	7	48	10
3	45	48	45	7
4	45	8	12	54
1	46	48	7	46
3	45	5	5	42
2	43	48	5	38
4	46	5	48	36
2	45	48	12	33
4	43	7	10	22
4	46	46	9	18
2	46	8	7	14
3	46	47	52	8
6	44	7	15	5
2	47	48	11	46
3	47	7	7	40
3	42	47	5	36
2	47	6	49	34
1	44	4	17	31
2	45	2	11	22
4	47	52	9	18
3	47	14	7	13
2	45	48	48	9
3	44	22	19	5
2	46	48	15	47
4	47	22	9	40
3	43	45	7	37
3	44	22	48	35
3	47	48	19	30
2	43	20	15	23
3	46	47	14	18
3	46	21	11	12
4	45	46	48	8
4	45	20	21	53
3	46	46	18	48
4	46	20	8	42
3	46	48	6	39
3	47	22	49	37
1	46	48	18	33
3	44	21	14	23
3	47	47	12	19
3	46	22	10	10
3	44	46	52	7
2	45	23	22	19
5	43	47	20	11
4	45	24	13	18
1	46	49	8	16
5	46	22	47	14
3	47	47	25	64
2	47	22	20	57
3	45	45	18	56
3	45	20	13	55
2	44	48	48	53
4	47	23	26	52
1	45	48	22	49
5	41	21	18	34
4	46	48	15	31
3	44	20	48	29
3	44	48	25	21
1	46	19	21	17
2	47	49	18	14
3	43	21	16	10
2	47	46	48	61
2	45	20	24	51
3	43	48	21	49
3	47	19	18	35
3	46	48	16	31
5	44	20	48	30
2	45	48	24	25
2	47	21	20	21
2	44	48	14	17
5	45	20	12	13
4	45	49	48	8
3	45	20	26	55
6	45	47	22	50
4	45	19	21	40
2	46	45	15	38
4	46	20	48	37
3	44	48	27	20
2	45	20	23	15
4	44	47	17	14
3	44	19	15	9
4	45	48	48	8
3	44	18	27	55
2	44	46	21	47
4	44	17	15	43
3	46	48	13	40
4	45	18	48	36
4	44	48	25	27
2	47	19	21	22
2	45	46	18	16
4	44	20	15	8
3	45	48	37	6
4	44	18	17	55
1	44	46	14	43
3	43	16	12	38
2	45	48	31	37
3	44	17	10	34
2	44	47	37	26
4	46	15	33	22
1	45	47	30	18
4	42	16	28	15
4	44	47	26	10
2	46	17	45	6
4	48	46	42	51
2	47	16	38	41
2	44	48	35	37
2	44	15	32	36
2	46	47	44	27
1	46	13	41	21
1	45	47	38	15
3	45	13	35	14
3	45	48	30	11
2	47	15	44	5
1	44	47	42	49
3	47	14	40	42
4	44	48	38	39
1	45	15	35	38
3	44	46	45	28
4	44	12	43	22
2	46	48	41	18
1	44	13	38	14
2	46	48	32	8
4	45	13	45	5
1	45	47	39	51
3	44	11	37	44
2	46	48	33	42
3	45	12	31	40
2	47	48	45	30
4	44	9	40	23
3	45	48	37	14
2	47	10	34	10
3	44	47	30	8
2	46	10	43	4
6	45	48	41	32
