label	xaxis	mean	variance	stddev
experiment_29	1	737521.333333	264484.266667	514.280338596
experiment_35	20	458096.727273	247975225.018	15747.2291219
experiment_34	50	1032878.66667	700157399.467	26460.4875138
experiment_16	200	1504313.0	834407346.133	28886.1099169
experiment_17	500	2833443.0	848522733.867	29129.4135517
experiment_18	1000	3262899.5	9.34727937143	966813.289701
experiment_19	5000	5844271.11111	5.03191169466	2243192.29997
experiment_20	10000	19296612.0	372585718404.7	610398.945954
