label	xaxis	mean	variance	stddev
experiment_59	0	28372612.2308	1960284964773.3	1400101.76943439
experiment_54	100	25244938.6667	14523520449348.6	3810973.6878321
experiment_55	200	25111112.00003	3342763283592.89	1828322.53270392
experiment_56	300	24280166.28573	1821153011643.6	1349501.02320954
experiment_57	400	33747778.8571	4253512358386.07	2062404.50891334
experiment_58	500	27996039.3847	23906091004000.7	4889385.54462631
