label	xaxis	mean	variance	stddev
experiment_29	1	737521.333333	264484.266667	514.280338596
experiment_6	2000	5524305.45455	3.27547883351	572317.991462
experiment_7	5000	7211628.36364	1.62777941932	1275844.59058
experiment_8	10000	8873042.90909	1.12357170717	335197.211679
experiment_9	25000	7912747.2	349099076276.2	590846.068174
experiment_10	50000	10560506.6667	1539879445.33	39241.297702
