label	xaxis	mean	variance	stddev
experiment_29	1	177857.333333	522583.188406	722.899155073
experiment_6	2000	1722148.72727	49072881.7316	7005.20390364
experiment_7	5000	3735094.93333	48345662.781	6953.10454265
experiment_8	10000	7216969.45455	73540611.8788	8575.58230552
experiment_9	25000	17244512.0	34702435.5556	5890.87731629
experiment_10	50000	38852256.0	3068492.8	1751.71139175
