label	xaxis	mean	variance	stddev
experiment_29	1	404382.666667	266.666666667	16.3299316186
experiment_35	20	954747.636364	358069777.455	18922.7317651
experiment_34	50	2740054.66667	5.35361541003	731684.044518
experiment_16	200	10743351.5	1089028868.0	33000.437391
experiment_17	500	7162372.0	5.74135220624	2396111.89351
experiment_18	1000	3852263.5	97361468889.3	312027.993759
experiment_19	5000	2990425.77778	1.42928522316	378058.887366
experiment_20	10000	4472532.0	5.54470753628	2354720.2671
